"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,[Score 590-629] Simplify (3x^2 - 5x + 7) + (2x^2 + 4x - 9) - (x^2 - 3x + 1).,4x^2 + 2x - 3,6x^2 - 4x - 1,4x^2 - 4x - 3,5x^2 + 2x - 1,30,1
2,[Score 590-629] Multiply (2x - 3)(x^2 + 4x + 5).,2x^3 + 5x^2 - 2x - 15,2x^3 + 8x^2 + 10x - 15,2x^3 + 5x^2 + 22x - 15,2x^3 - 5x^2 - 2x - 15,30,1
3,[Score 590-629] Divide (x^3 + 2x^2 - 5x - 6) by (x + 3).,x^2 - x - 2,x^2 + 5x + 10,x^2 - x + 2,x^2 + x - 2,30,1
4,[Score 590-629] Use synthetic division to divide 2x^3 - 3x^2 - 8x + 12 by x - 2.,2x^2 + x - 6,2x^2 - 7x + 6,2x^2 + x + 6,2x^2 - x - 6,30,1
5,[Score 590-629] Simplify [((x + 2)(x + 3)) + (x + 2) - 2(x + 2)]/(x + 2).,x + 2,x + 3,x + 4,x^2 + 3x + 2,30,1
6,[Score 590-629] Solve x^3 - 4x^2 - x + 4 = 0.,"x = -1, 1, 4","x = -4, -1, 1","x = -2, 2, 4","x = 1, 2, 4",30,1
7,[Score 590-629] Find the roots of f(x) = (x - 5)(x + 2)(2x - 3).,"x = 5, -2, 3/2","x = -5, 2, -3/2","x = 5, 2, 3","x = -5, -2, 2/3",30,1
8,"[Score 590-629] Which monic polynomial has roots -3, 1, and 4?",x^3 - 2x^2 - 11x + 12,x^3 + 2x^2 - 11x - 12,x^3 - 8x^2 + 19x - 12,x^3 + 2x^2 + 11x + 12,30,1
9,[Score 590-629] Which value is a possible rational root of 6x^3 - 5x^2 + 2x - 4 = 0?,2/3,3/4,5/6,7/2,30,1
10,[Score 590-629] A polynomial with real coefficients has 4 - 7i as a root. Which root must also occur?,4 + 7i,-4 - 7i,-4 + 7i,7 + 4i,30,1
11,[Score 590-629] A polynomial with rational coefficients has sqrt(5) as a root. Which root must also occur?,-sqrt(5),1/sqrt(5),5,-5,30,1
12,"[Score 590-629] How many complex roots, counting multiplicity, does a degree 6 polynomial have?",6,5,7,12,30,1
13,[Score 590-629] Which description matches f(x) = -2(x + 1)^2(x - 3)?,"Touches x-axis at x = -1, crosses at x = 3, rises left and falls right","Crosses at x = -1, touches at x = 3, falls left and rises right","Touches at x = -1, crosses at x = 3, falls left and rises right","Crosses at both x = -1 and x = 3, rises left and falls right",30,1
14,[Score 590-629] What are the domain and range of f(x) = x^4 - 2?,Domain: all real numbers; Range: y >= -2,Domain: x >= -2; Range: all real numbers,Domain: all real numbers; Range: y <= -2,Domain: x >= 0; Range: y >= -2,30,1
15,"[Score 590-629] Is f(x) = 3x^5 - 2x^3 + x even, odd, or neither?",Odd,Even,Neither,Both even and odd,30,1
16,"[Score 590-629] Simplify sqrt(50x^2), assuming x >= 0.",5x sqrt(2),25x sqrt(2),10x sqrt(5),5x^2 sqrt(2),30,1
